Date,Open,High,Low,Close,Volume,Adj Close
1999-02-12,176.25,176.25,171.19,172.75,5833100,59.0322
1999-02-16,175.0,178.25,171.94,172.5,4509900,58.9468
1999-02-17,170.5,174.31,168.81,170.5,4488500,58.2633
1999-02-18,172.0,174.5,170.19,174.25,4343900,59.5448
1999-02-19,174.38,174.75,171.0,171.63,3696600,58.6495
1999-02-22,172.25,177.94,171.06,177.94,4600100,60.8057
1999-02-23,178.0,180.0,175.75,176.94,4554600,60.464
1999-02-24,177.25,179.69,173.13,173.75,4318700,59.3739
1999-02-25,172.0,173.94,169.31,173.63,5234800,59.3329
1999-02-26,171.0,171.88,166.5,169.75,7399000,58.007
1999-03-01,169.5,169.5,165.13,168.38,4795400,57.5389
1999-03-02,170.5,170.94,166.88,167.75,4371800,57.3236
1999-03-03,168.5,168.94,165.06,166.75,3871500,56.9819
1999-03-04,173.5,177.0,170.13,171.0,10750500,58.4342
1999-03-05,173.88,178.94,173.75,178.38,5803100,60.9561
1999-03-08,178.63,180.0,177.06,178.88,3779900,61.1269
1999-03-09,179.88,184.88,178.56,182.19,5009500,62.258
1999-03-10,181.63,182.88,180.25,181.5,3504900,62.0222
1999-03-11,182.38,185.94,181.5,182.88,4295600,62.4938
1999-03-12,182.69,183.44,178.0,178.0,4841600,60.8262
1999-03-15,179.19,182.31,177.13,182.0,3951400,62.1931
1999-03-16,182.0,183.5,180.19,181.0,3303000,61.8514
1999-03-17,179.5,180.0,178.0,178.06,3457700,60.8467
1999-03-18,177.5,177.75,172.94,177.63,7252500,60.6998
1999-03-19,176.63,178.0,168.0,168.56,9748400,57.6004
1999-03-22,168.69,170.5,166.63,167.0,5948300,57.0673
1999-03-23,167.0,167.63,164.0,165.38,5007500,56.5137
1999-03-24,168.0,170.5,166.5,169.5,5910500,57.9216
1999-03-25,172.0,173.25,169.5,171.31,4914400,58.5401
1999-03-26,171.06,175.88,170.56,172.38,4133200,58.9058
1999-03-29,175.0,178.75,174.38,177.88,4049100,60.7852
1999-03-30,177.0,181.25,176.88,178.56,3733400,61.0176
1999-03-31,180.0,181.5,176.5,177.25,2917600,60.5699
1999-04-01,177.31,177.69,174.69,177.0,2655400,60.4845
1999-04-05,179.0,183.94,178.56,183.94,4619200,62.856
1999-04-06,183.13,186.75,182.19,183.0,4371400,62.5348
1999-04-07,184.0,187.63,179.06,186.5,5831000,63.7308
1999-04-08,186.0,188.06,182.31,187.0,4265500,63.9017
1999-04-09,185.63,188.06,184.0,186.31,3055900,63.6659
1999-04-12,183.5,183.63,181.06,183.44,4489900,62.6852
1999-04-13,184.0,184.0,179.94,180.0,3423200,61.5097
1999-04-14,182.75,183.88,177.63,179.38,3630500,61.2978
1999-04-15,179.5,179.5,173.5,177.75,4165200,60.7408
1999-04-16,177.5,177.5,170.13,170.38,5964400,58.2223
1999-04-19,170.88,172.31,164.06,166.75,7691800,56.9819
1999-04-20,167.0,169.75,163.0,169.75,7358000,58.007
1999-04-21,169.75,171.88,165.13,171.88,6580800,58.7349
1999-04-22,197.25,198.75,192.69,194.5,19584900,66.4646
1999-04-23,193.38,206.56,192.94,199.75,10375500,68.2586
1999-04-26,204.75,210.75,202.31,209.88,9333000,71.7203
1999-04-27,212.0,215.25,208.5,212.0,10464600,72.4447
1999-04-28,209.25,210.5,203.5,205.0,5670900,70.0527
1999-04-29,205.0,209.0,203.44,204.81,5639600,69.9877
1999-04-30,208.5,211.0,203.44,209.19,4515500,71.4845
1999-05-03,208.0,212.25,206.31,212.25,4516100,72.5301
1999-05-04,212.25,215.88,211.38,212.0,5566200,72.4447
1999-05-05,212.13,212.5,207.31,212.13,4236200,72.4891
1999-05-06,211.88,214.0,208.0,209.25,4169800,71.587
1999-05-07,211.25,217.5,211.06,217.25,4993400,74.3239
1999-05-10,217.25,221.88,217.06,218.63,4774200,74.796
1999-05-11,220.5,221.88,217.5,221.0,4186400,75.6068
1999-05-12,221.13,228.44,215.5,225.5,6033400,77.1463
1999-05-13,234.0,246.0,234.0,246.0,12165700,84.1596
1999-05-14,241.5,243.5,236.0,239.25,9036900,81.8504
1999-05-17,236.0,239.63,232.0,237.5,5780200,81.2517
1999-05-18,238.25,240.63,237.0,238.5,4316900,81.5938
1999-05-19,238.25,238.75,233.06,235.88,3895800,80.6974
1999-05-20,235.63,236.38,232.5,232.88,3220900,79.6711
1999-05-21,232.75,233.38,229.19,230.38,3449900,78.8158
1999-05-24,230.31,230.69,221.75,223.75,4299100,76.5476
1999-05-25,222.5,226.0,221.0,221.19,4702500,75.6718
1999-05-26,223.0,236.63,221.44,236.25,8314000,80.824
1999-05-27,116.69,116.87,112.62,116.0,5276250,79.37
1999-05-28,116.0,116.75,114.19,116.0,6379500,79.37
1999-06-01,113.62,113.87,111.19,112.0,7158500,76.6332
